"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Aro Valley","5","$485,333","13.0%","Sep 2015"
"Berhampore","14","$528,000","18.0%","Sep 2015"
"Broadmeadows","15","$449,000","17.0%","Sep 2015"
"Brooklyn","26","$579,600","19.0%","Sep 2015"
"Churton Park","30","$582,500","14.0%","Sep 2015"
"Crofton Downs","10","$622,000","18.0%","Sep 2015"
"Grenada North","1","$420,500","15.0%","Sep 2015"
"Grenada Village","5","$501,500","14.0%","Sep 2015"
"Hataitai","22","$635,500","21.0%","Sep 2015"
"Highbury","2","$588,500","22.0%","Sep 2015"
"Houghton Bay","2","$626,750","12.0%","Sep 2015"
"Island Bay","19","$599,000","14.0%","Sep 2015"
"Johnsonville","41","$499,000","22.0%","Sep 2015"
"Kaiwharawhara","0","$0",".0%","Sep 2015"
"Karaka Bays","1","$822,000",".0%","Sep 2015"
"Karori","60","$537,500","18.0%","Sep 2015"
"Kelburn","7","$1,172,500","14.0%","Sep 2015"
"Khandallah","43","$777,000","15.0%","Sep 2015"
"Kilbirnie","10","$508,000","19.0%","Sep 2015"
"Kingston","4","$417,750","9.0%","Sep 2015"
"Lyall Bay","13","$602,000","15.0%","Sep 2015"
"Maupuia","5","$366,000","21.0%","Sep 2015"
"Melrose","5","$499,000","16.0%","Sep 2015"
"Miramar","32","$623,000","18.0%","Sep 2015"
"Mornington","5","$560,100","16.0%","Sep 2015"
"Mount Cook","18","$430,000","9.0%","Sep 2015"
"Mount Victoria","14","$574,500","22.0%","Sep 2015"
"Newlands","28","$443,750","15.0%","Sep 2015"
"Newtown","30","$621,650","14.0%","Sep 2015"
"Ngaio","15","$690,500","20.0%","Sep 2015"
"Northland","11","$617,000","15.0%","Sep 2015"
"Ohariu","1","$612,000","5.0%","Sep 2015"
"Oriental Bay","3","$997,000","7.0%","Sep 2015"
"Owhiro Bay","3","$582,000","19.0%","Sep 2015"
"Paparangi","10","$497,612","17.0%","Sep 2015"
"Pipitea","4","$465,000","9.0%","Sep 2015"
"Rongotai","2","$630,000","31.0%","Sep 2015"
"Roseneath","5","$593,000","20.0%","Sep 2015"
"Seatoun","13","$890,000","22.0%","Sep 2015"
"Southgate","1","$572,000","27.0%","Sep 2015"
"Strathmore Park","15","$623,000","16.0%","Sep 2015"
"Tawa","58","$475,500","16.0%","Sep 2015"
"Te Aro","56","$333,000","13.0%","Sep 2015"
"Thorndon","23","$701,000","18.0%","Sep 2015"
"Vogeltown","5","$524,000","18.0%","Sep 2015"
"Wadestown","12","$866,500","8.0%","Sep 2015"
"Wellington Central","15","$354,000","13.0%","Sep 2015"
"Wilton","9","$622,000","17.0%","Sep 2015"
"Woodridge","3","$434,000","12.0%","Sep 2015"
